symbol,name,country,ipo_year,volume,sector,industry
CBRL,Cracker Barrel Old Country Store Inc Common Stock,United States,1981.0,444218,Consumer Discretionary,Restaurants
CBSH,Commerce Bancshares Inc. Common Stock,United States,,142135,Finance,Major Banks
CCBG,Capital City Bank Group Common Stock,United States,,4086,Finance,Major Banks
CCNE,CNB Financial Corporation Common Stock,United States,,16865,Finance,Major Banks
CCOI,Cogent Communications Holdings Inc.,United States,,151789,Consumer Discretionary,Telecommunications Equipment
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,United States,2001.0,70501,Consumer Discretionary,Professional Services
CDNA,CareDx Inc. Common Stock,United States,2014.0,195358,Health Care,Medical Specialities
CDNS,Cadence Design Systems Inc. Common Stock,United States,,876905,Technology,Computer Software: Prepackaged Software
CDW,CDW Corporation Common Stock,United States,2013.0,332607,Consumer Discretionary,Catalog/Specialty Distribution
CDXS,Codexis Inc. Common Stock,United States,2010.0,691365,Industrials,Major Chemicals
CDZI,CADIZ Inc. Common Stock,United States,,379650,Utilities,Water Supply
CECO,CECO Environmental Corp. Common Stock,United States,1998.0,83418,Industrials,Pollution Control Equipment
CENT,Central Garden & Pet Company Common Stock,United States,1993.0,56013,Consumer Discretionary,Consumer Specialties
CENX,Century Aluminum Company Common Stock,United States,1996.0,713056,Industrials,Aluminum
CERS,Cerus Corporation Common Stock,United States,1997.0,585734,Technology,EDP Services
CEVA,CEVA Inc. Common Stock,United States,,77913,Technology,Computer Software: Programming Data Processing
CFBK,CF Bankshares Inc. Common Stock,United States,,6476,Finance,Major Banks
CFFI,C&F Financial Corporation Common Stock,United States,,13059,Finance,Major Banks
CFFN,Capitol Federal Financial Inc. Common Stock,United States,,192153,Finance,Savings Institutions
CG,The Carlyle Group Inc. Common Stock,United States,2012.0,707943,Finance,Investment Managers
CGEN,Compugen Ltd. Ordinary Shares,Israel,2000.0,227844,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGNX,Cognex Corporation Common Stock,United States,1989.0,548560,Industrials,Industrial Machinery/Components
CGO,Calamos Global Total Return Fund Common Stock,United States,2005.0,17507,Finance,Investment Managers
CHCI,Comstock Holding Companies Inc. Class A Common Stock,United States,2004.0,41760,Finance,Real Estate
CHCO,City Holding Company Common Stock,United States,,11321,Finance,Major Banks
CHDN,Churchill Downs Incorporated Common Stock,United States,,239900,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHEF,The Chefs' Warehouse Inc. Common Stock,United States,2011.0,102386,Consumer Discretionary,Food Distributors
CHI,Calamos Convertible Opportunities and Income Fund Common Stock,United States,2002.0,414024,Finance,Investment Managers
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,Israel,1996.0,281160,Technology,Computer Software: Prepackaged Software
CHMG,Chemung Financial Corp Common Stock,United States,,13148,Finance,Major Banks
CHNR,China Natural Resources Inc. Common Stock,Hong Kong,,1156,Basic Materials,Precious Metals
CHRS,Coherus BioSciences Inc. Common Stock,United States,2014.0,864308,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHRW,C.H. Robinson Worldwide Inc. Common Stock,United States,1997.0,642458,Consumer Discretionary,Oil Refining/Marketing
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,United States,,32694,Industrials,Farming/Seeds/Milling
CHTR,Charter Communications Inc. Class A Common Stock New,United States,,699089,Telecommunications,Cable & Other Pay Television Services
CHW,Calamos Global Dynamic Income Fund Common Stock,United States,2007.0,246452,Finance,Investment Managers
CHY,Calamos Convertible and High Income Fund Common Stock,United States,2003.0,281939,Finance,Investment Managers
CINF,Cincinnati Financial Corporation Common Stock,United States,,193294,Finance,Property-Casualty Insurers
CLDX,Celldex Therapeutics Inc.,United States,,628157,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLFD,Clearfield Inc. Common Stock,United States,,33020,Utilities,Telecommunications Equipment
CLIR,ClearSign Technologies Corporation Common Stock (DE),United States,2012.0,38829,Industrials,Industrial Machinery/Components
CLMT,Calumet Inc. Common Stock,United States,2006.0,402117,Energy,Integrated oil Companies
CLNE,Clean Energy Fuels Corp. Common Stock,United States,2007.0,1157084,Utilities,Natural Gas Distribution
CLRB,Cellectar Biosciences Inc.  Common Stock,United States,,599425,Health Care,Biotechnology: Pharmaceutical Preparations
CLRO,ClearOne Inc. (DE) Common Stock,United States,,43600,Utilities,Telecommunications Equipment
CLWT,Euro Tech Holdings Company Limited Common Stock,Hong Kong,1997.0,3963,Consumer Discretionary,Professional and commerical equipment
CMCO,Columbus McKinnon Corporation Common Stock,United States,1996.0,269322,Industrials,Construction/Ag Equipment/Trucks
CMCSA,Comcast Corporation Class A Common Stock,United States,,10414177,Telecommunications,Cable & Other Pay Television Services
CMCT,Creative Media & Community Trust Corporation Common stock,United States,,516592,Real Estate,Real Estate Investment Trusts
CME,CME Group Inc. Class A Common Stock,United States,2002.0,850684,Finance,Investment Bankers/Brokers/Service
CMLS,Cumulus Media Inc. Class A Common Stock,United States,,124622,Consumer Discretionary,Broadcasting
CMPR,Cimpress plc Ordinary Shares (Ireland),Netherlands,2005.0,55939,Consumer Discretionary,Publishing
CMRX,Chimerix Inc. Common Stock,United States,2013.0,1206092,Health Care,Biotechnology: Pharmaceutical Preparations
CMTL,Comtech Telecommunications Corp. Common Stock,United States,,223912,Technology,Radio And Television Broadcasting And Communications Equipment
CNET,ZW Data Action Technologies Inc. Common Stock,China,,6179,Technology,Computer Software: Programming Data Processing
CNMD,CONMED Corporation Common Stock,United States,1987.0,155553,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNOB,ConnectOne Bancorp Inc. Common Stock,United States,,70430,Finance,Major Banks
CNTY,Century Casinos Inc. Common Stock,United States,,41028,Consumer Discretionary,Hotels/Resorts
COCO,The Vita Coco Company Inc. Common Stock,United States,2021.0,262129,Consumer Staples,Beverages (Production/Distribution)
COHR,Coherent Corp. Common Stock,United States,,1066322,Technology,Electronic Components
COHU,Cohu Inc. Common Stock,United States,,269877,Industrials,Electrical Products
COLB,Columbia Banking System Inc. Common Stock,United States,1992.0,386348,Finance,Savings Institutions
COLM,Columbia Sportswear Company Common Stock,United States,1998.0,173909,Consumer Discretionary,Apparel
COMM,CommScope Holding Company Inc. Common Stock,United States,2013.0,2581860,Technology,Radio And Television Broadcasting And Communications Equipment
CORT,Corcept Therapeutics Incorporated Common Stock,United States,2004.0,9500090,Health Care,Biotechnology: Pharmaceutical Preparations
COST,Costco Wholesale Corporation Common Stock,United States,,1269352,Consumer Discretionary,Department/Specialty Retail Stores
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,United States,,476,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,United States,2009.0,29387,Health Care,Biotechnology: Pharmaceutical Preparations
CPRT,Copart Inc. (DE) Common Stock,United States,1994.0,2830881,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,United States,2006.0,518588,Health Care,Biotechnology: Pharmaceutical Preparations
CPSS,Consumer Portfolio Services Inc. Common Stock,United States,1992.0,10154,Finance,Finance: Consumer Services
CRAI,CRA International Inc. Common Stock,United States,1998.0,9445,Consumer Discretionary,Other Consumer Services
CREG,Smart Powerr Corp. Common Stock,China,,735466,Consumer Discretionary,Business Services
CRIS,Curis Inc. Common Stock,United States,,39130,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRMT,America's Car-Mart Inc Common Stock,United States,,37558,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRNT,Ceragon Networks Ltd. Ordinary Shares,Israel,,512804,Technology,Radio And Television Broadcasting And Communications Equipment
CROX,Crocs Inc. Common Stock,United States,2006.0,703799,Consumer Discretionary,Shoe Manufacturing
CRTO,Criteo S.A. American Depositary Shares,France,2013.0,112106,Consumer Discretionary,Advertising
CRUS,Cirrus Logic Inc. Common Stock,United States,1989.0,193592,Technology,Semiconductors
CRVS,Corvus Pharmaceuticals Inc. Common Stock,United States,2016.0,535408,Health Care,Biotechnology: Pharmaceutical Preparations
CRWS,Crown Crafts Inc Common Stock,United States,,14452,Consumer Discretionary,Textiles
CSBR,Champions Oncology Inc. Common Stock,United States,,10062,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSCO,Cisco Systems Inc. Common Stock (DE),United States,1990.0,10045844,Telecommunications,Computer Communications Equipment
CSGP,CoStar Group Inc. Common Stock,United States,1998.0,1009981,Consumer Discretionary,Business Services
CSGS,CSG Systems International Inc. Common Stock,United States,1996.0,97652,Technology,EDP Services
CSIQ,Canadian Solar Inc. Common Shares (ON),Canada,2006.0,1409822,Technology,Semiconductors
CSPI,CSP Inc. Common Stock,United States,1982.0,4621,Technology,EDP Services
CSQ,Calamos Strategic Total Return Common Stock,United States,2004.0,185061,Finance,Finance Companies
CSTE,Caesarstone Ltd. Ordinary Shares,Israel,2012.0,28463,Industrials,Building Materials
CSWC,Capital Southwest Corporation Common Stock,United States,,564421,Consumer Discretionary,Textiles
CTAS,Cintas Corporation Common Stock,United States,1983.0,661979,Consumer Discretionary,Apparel
CTBI,Community Trust Bancorp Inc. Common Stock,United States,,26128,Finance,Major Banks
CTHR,Charles & Colvard Ltd Common Stock,United States,1997.0,4171,Consumer Discretionary,Consumer Specialties
CTRE,CareTrust REIT Inc. Common Stock,United States,2022.0,231852,Real Estate,Real Estate Investment Trusts
CTRN,Citi Trends Inc. Common Stock,United States,2005.0,21433,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,United States,1998.0,987473,Technology,EDP Services
CTSO,Cytosorbents Corporation Common Stock,United States,,29952,Health Care,Medical/Dental Instruments
CUBA,Herzfeld Caribbean Basin Fund Inc. (The) Common Stock,United States,,46716,Finance,Investment Managers
CVCO,Cavco Industries Inc. Common Stock When Issued,United States,,20399,Consumer Discretionary,Homebuilding
CVGI,Commercial Vehicle Group Inc. Common Stock,United States,2004.0,189046,Consumer Discretionary,Auto Parts:O.E.M.
CVGW,Calavo Growers Inc. Common Stock,United States,,109368,Consumer Discretionary,Specialty Foods
CVLT,Commvault Systems Inc. Common Stock,United States,2006.0,137256,Technology,Computer Software: Prepackaged Software
CVV,CVD Equipment Corporation Common Stock,United States,,5759,Technology,Industrial Machinery/Components
CWBC,Community West Bancshares Common Stock,United States,,15388,Finance,Major Banks
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,Cayman Islands,,53453,Utilities,Water Supply
CWST,Casella Waste Systems Inc. Class A Common Stock,United States,1997.0,134354,Utilities,Environmental Services
CYBR,CyberArk Software Ltd. Ordinary Shares,Israel,2014.0,376680,Technology,Computer Software: Prepackaged Software
CYCC,Cyclacel Pharmaceuticals Inc. Common Stock,United States,,126768,Health Care,Biotechnology: Pharmaceutical Preparations
CYH,Community Health Systems Inc. Common Stock,United States,2000.0,1031139,Health Care,Hospital/Nursing Management
CYTK,Cytokinetics Incorporated Common Stock,United States,2004.0,783481,Health Care,Biotechnology: Pharmaceutical Preparations
CZNC,Citizens & Northern Corp Common Stock,United States,,15546,Finance,Major Banks
CZR,Caesars Entertainment Inc. Common Stock,United States,,3367077,Consumer Discretionary,Hotels/Resorts
CZWI,Citizens Community Bancorp Inc. Common Stock,United States,2006.0,6205,Finance,Savings Institutions
DAIO,Data I/O Corporation Common Stock,United States,1981.0,1239,Industrials,Electrical Products
DAKT,Daktronics Inc. Common Stock,United States,1994.0,326839,Consumer Discretionary,Miscellaneous manufacturing industries
DAVE,Dave Inc. Class A Common Stock,United States,,249950,Finance,Finance: Consumer Services
DBVT,DBV Technologies S.A. American Depositary Shares,France,2014.0,428715,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DCOM,Dime Community Bancshares Inc. Common Stock,United States,,43137,Finance,Major Banks
DCTH,Delcath Systems Inc. Common Stock,United States,,122112,Health Care,Medical/Dental Instruments
DENN,Denny's Corporation Common Stock,United States,,843965,Consumer Discretionary,Restaurants
DERM,Journey Medical Corporation Common Stock,United States,2021.0,39725,Health Care,Biotechnology: Pharmaceutical Preparations
DGICA,Donegal Group Inc. Class A Common Stock,United States,,38576,Finance,Property-Casualty Insurers
DGII,Digi International Inc. Common Stock,United States,1989.0,57671,Telecommunications,Computer Communications Equipment
DGLY,Digital Ally Inc. Common Stock,United States,,22135114,Technology,Radio And Television Broadcasting And Communications Equipment
DHIL,Diamond Hill Investment Group Inc. Class A Common Stock,United States,,4279,Finance,Investment Managers
DIOD,Diodes Incorporated Common Stock,United States,,148156,Technology,Semiconductors
DJCO,Daily Journal Corp. (S.C.) Common Stock,United States,,5185,Consumer Discretionary,Newspapers/Magazines
DLHC,DLH Holdings Corp.,United States,,32987,Consumer Discretionary,Professional Services
DLTR,Dollar Tree Inc. Common Stock,United States,1995.0,4019725,Consumer Discretionary,Department/Specialty Retail Stores
DMLP,Dorchester Minerals L.P. Common Units Representing Limited Partnership Interests,United States,,33950,Energy,Oil & Gas Production
DMRC,Digimarc Corporation Common Stock,United States,,79523,Technology,EDP Services
DORM,Dorman Products Inc. Common Stock,United States,,93489,Consumer Discretionary,Auto Parts:O.E.M.
DOX,Amdocs Limited Ordinary Shares,Guernsey,,394308,Technology,EDP Services
DRRX,DURECT Corporation Common Stock,United States,2000.0,8168,Health Care,Biotechnology: Pharmaceutical Preparations
DSGX,Descartes Systems Group Inc. (The) Common Stock,Canada,,116153,Technology,Computer Software: Prepackaged Software
DSWL,Deswell Industries Inc. Common Shares,Macau,1995.0,5597,Industrials,Plastic Products
DVAX,Dynavax Technologies Corporation Common Stock,United States,2004.0,1417558,Health Care,Biotechnology: Pharmaceutical Preparations
DWSN,Dawson Geophysical Company Common Stock,United States,,7102,Energy,Oil & Gas Production
DXCM,DexCom Inc. Common Stock,United States,2005.0,1803072,Health Care,Medical/Dental Instruments
DXLG,Destination XL Group Inc. Common Stock,United States,,97574,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DXPE,DXP Enterprises Inc. Common Stock,United States,,41269,Industrials,Industrial Machinery/Components
EA,Electronic Arts Inc. Common Stock,United States,,1264649,Technology,Computer Software: Prepackaged Software
EBAY,eBay Inc. Common Stock,United States,1998.0,2091434,Consumer Discretionary,Business Services
EBMT,Eagle Bancorp Montana Inc. Common Stock,United States,2010.0,21930,Finance,Major Banks
EBTC,Enterprise Bancorp Inc Common Stock,United States,,9146,Finance,Major Banks
ECPG,Encore Capital Group Inc Common Stock,United States,,77231,Finance,Finance Companies
EDAP,EDAP TMS S.A. American Depositary Shares,France,1997.0,41645,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,United States,2010.0,67993,Finance,Investment Managers
EDUC,Educational Development Corporation Common Stock,United States,,3227,Consumer Discretionary,Consumer Specialties
EEFT,Euronet Worldwide Inc. Common Stock,United States,1997.0,77640,Finance,Investment Bankers/Brokers/Service
EFOI,Energy Focus Inc. Common Stock,United States,,4967,Consumer Discretionary,Building Products
EFSC,Enterprise Financial Services Corporation Common Stock,United States,,53961,Finance,Major Banks
EGAN,eGain Corporation Common Stock,United States,1999.0,61900,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp Inc. Common Stock,United States,,329236,Finance,Major Banks
EGHT,8x8 Inc Common Stock,United States,,1061379,Technology,EDP Services
EHTH,eHealth Inc. Common Stock,United States,2006.0,57194,Finance,Specialty Insurers
ELTK,Eltek Ltd. Ordinary Shares,Israel,1997.0,5839,Technology,Electrical Products
EMF,Templeton Emerging Markets Fund Common Stock,United States,1987.0,5093,Finance,Finance/Investors Services
EML,Eastern Company (The) Common Stock,United States,,1148,Consumer Discretionary,Industrial Machinery/Components
ENPH,Enphase Energy Inc. Common Stock,United States,2012.0,1377988,Technology,Semiconductors
ENSG,The Ensign Group Inc. Common Stock,United States,2007.0,90727,Health Care,Hospital/Nursing Management
ENTA,Enanta Pharmaceuticals Inc. Common Stock,United States,2013.0,166816,Health Care,Biotechnology: Pharmaceutical Preparations
ENTG,Entegris Inc. Common Stock,United States,2000.0,980717,Industrials,Plastic Products
EPAM,EPAM Systems Inc. Common Stock,United States,2012.0,218140,Technology,EDP Services
EQIX,Equinix Inc. Common Stock REIT,United States,2000.0,358614,Real Estate,Real Estate Investment Trusts
ERIE,Erie Indemnity Company Class A Common Stock,United States,,38059,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,United States,2008.0,111975,Technology,Industrial Machinery/Components
ESCA,Escalade Incorporated Common Stock,United States,,6412,Consumer Discretionary,Recreational Games/Products/Toys
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),Greece,,16710,Consumer Discretionary,Marine Transportation
ESGR,Enstar Group Limited Ordinary Shares,Bermuda,,63569,Finance,Property-Casualty Insurers
ESLT,Elbit Systems Ltd. Ordinary Shares,Israel,,47682,Industrials,Military/Government/Technical
ESPR,Esperion Therapeutics Inc. Common Stock,United States,2013.0,3161550,Health Care,Biotechnology: Pharmaceutical Preparations
ESSA,ESSA Bancorp Inc. Common Stock,United States,2007.0,4070,Finance,Banks
EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,United States,2020.0,1063536,Technology,Computer peripheral equipment
EVOK,Evoke Pharma Inc. Common Stock,United States,2013.0,3439,Health Care,Biotechnology: Pharmaceutical Preparations
EWBC,East West Bancorp Inc. Common Stock,United States,,159834,Finance,Major Banks
EXAS,Exact Sciences Corporation Common Stock,United States,2001.0,456630,Health Care,Medical Specialities
EXEL,Exelixis Inc. Common Stock,United States,2000.0,1100683,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXLS,ExlService Holdings Inc. Common Stock,United States,2006.0,249338,Consumer Discretionary,Business Services
EXPD,Expeditors International of Washington Inc. Common Stock,United States,,414449,Consumer Discretionary,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,United States,,682734,Consumer Discretionary,Transportation Services
EXPO,Exponent Inc. Common Stock,United States,,73533,Consumer Discretionary,Professional Services
EXTR,Extreme Networks Inc. Common Stock,United States,1999.0,2664574,Telecommunications,Computer Communications Equipment
EZPW,EZCORP Inc. Class A Non Voting Common Stock,United States,1991.0,338008,Consumer Discretionary,Other Specialty Stores
FANG,Diamondback Energy Inc. Common Stock,United States,2012.0,903723,Energy,Oil & Gas Production
FARM,Farmer Brothers Company Common Stock,United States,,63031,Consumer Staples,Packaged Foods
FARO,FARO Technologies Inc. Common Stock,United States,1997.0,101466,Industrials,Industrial Machinery/Components
FAST,Fastenal Company Common Stock,United States,1987.0,1264344,Consumer Discretionary,RETAIL: Building Materials
FATE,Fate Therapeutics Inc. Common Stock,United States,2013.0,1074474,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBIZ,First Business Financial Services Inc. Common Stock,United States,,6871,Finance,Major Banks
FBMS,First Bancshares Inc.,United States,,88507,Finance,Major Banks
FBP,First BanCorp. New Common Stock,Puerto Rico,,247497,Finance,Major Banks
FCAP,First Capital Inc. Common Stock,United States,,1278,Finance,Savings Institutions
FCBC,First Community Bankshares Inc. (VA) Common Stock,United States,,10775,Finance,Major Banks
FCCO,First Community Corporation Common Stock,United States,,27722,Finance,Major Banks
FCEL,FuelCell Energy Inc. Common Stock,United States,,341357,Energy,Industrial Machinery/Components
FCNCA,First Citizens BancShares Inc. Class A Common Stock,United States,,37451,Finance,Major Banks
FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,United States,2004.0,54164,Finance,Finance Companies
FDUS,Fidus Investment Corporation Common Stock,United States,2011.0,128945,Finance,Finance/Investors Services
FEIM,Frequency Electronics Inc. Common Stock,United States,,24713,Industrials,Electrical Products
FELE,Franklin Electric Co. Inc. Common Stock,United States,,61783,Consumer Discretionary,Metal Fabrications
FFA,First Trust Enhanced Equity Income Fund,United States,2004.0,57623,Finance,Investment Managers
FFBC,First Financial Bancorp. Common Stock,United States,,92341,Finance,Major Banks
FFIC,Flushing Financial Corporation Common Stock,United States,,66699,Finance,Major Banks
FFIN,First Financial Bankshares Inc. Common Stock,United States,,124253,Finance,Major Banks
FFIV,F5 Inc. Common Stock,United States,1999.0,150747,Telecommunications,Computer Communications Equipment
FFNW,First Financial Northwest Inc. Common Stock,United States,2007.0,18915,Finance,Banks
FFWM,First Foundation Inc. Common Stock,United States,,983700,Finance,Major Banks
FGEN,FibroGen Inc Common Stock,United States,2014.0,751552,Health Care,Biotechnology: Pharmaceutical Preparations
FIBK,First Interstate BancSystem Inc. Common Stock (DE),United States,2010.0,142546,Finance,Major Banks
FISI,Financial Institutions Inc. Common Stock,United States,1999.0,42765,Finance,Major Banks
FITB,Fifth Third Bancorp Common Stock,United States,,1367893,Finance,Major Banks
FIVE,Five Below Inc. Common Stock,United States,2012.0,859276,Consumer Discretionary,Department/Specialty Retail Stores
FIVN,Five9 Inc. Common Stock,United States,2014.0,684787,Technology,EDP Services
FIZZ,National Beverage Corp. Common Stock,United States,,62033,Consumer Staples,Beverages (Production/Distribution)
FLIC,First of Long Island Corporation (The) Common Stock,United States,,24746,Finance,Major Banks
FLL,Full House Resorts Inc. Common Stock,United States,,55160,Consumer Discretionary,Hotels/Resorts
FLXS,Flexsteel Industries Inc. Common Stock,United States,,6671,Consumer Discretionary,Home Furnishings
FMNB,Farmers National Banc Corp. Common Stock,United States,,57649,Finance,Major Banks
FMY,First Trust Motgage Income Fund Common Shares of Beneficial Interest,United States,2005.0,2376,Finance,Finance/Investors Services
FNLC,First Bancorp Inc  (ME) Common Stock,United States,,7513,Finance,Major Banks
FOLD,Amicus Therapeutics Inc. Common Stock,United States,2007.0,1955406,Health Care,Biotechnology: Pharmaceutical Preparations
FONR,Fonar Corporation Common Stock,United States,1981.0,3180,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FORD,Forward Industries Inc. Common Stock,United States,,21578,Industrials,Plastic Products
FORM,FormFactor Inc. FormFactor Inc. Common Stock,United States,2003.0,268045,Technology,Semiconductors
FORR,Forrester Research Inc. Common Stock,United States,1996.0,21578,Consumer Discretionary,Diversified Commercial Services
FORTY,Formula Systems (1985) Ltd. American Depositary Shares,Israel,,507,Technology,EDP Services
FOSL,Fossil Group Inc. Common Stock,United States,1993.0,182030,Consumer Discretionary,Consumer Specialties
FOXF,Fox Factory Holding Corp. Common Stock,United States,2013.0,231588,Consumer Discretionary,Motor Vehicles
FRBA,First Bank Common Stock,United States,2013.0,34140,Finance,Commercial Banks
FRME,First Merchants Corporation Common Stock,United States,,77950,Finance,Major Banks
FRPH,FRP Holdings Inc. Common Stock,United States,,29552,Finance,Real Estate
FRPT,Freshpet Inc. Common Stock,United States,2014.0,467101,Consumer Staples,Packaged Foods
FRSH,Freshworks Inc. Class A Common Stock,United States,2021.0,2142199,Technology,Computer Software: Prepackaged Software
FSBW,FS Bancorp Inc. Common Stock,United States,2012.0,3181,Finance,Banks
FSFG,First Savings Financial Group Inc. Common Stock,United States,2008.0,2992,Finance,Savings Institutions
FSLR,First Solar Inc. Common Stock,United States,2006.0,1723879,Technology,Semiconductors
FSTR,L.B. Foster Company Common Stock,United States,,25870,Industrials,Metal Fabrications
FTEK,Fuel Tech Inc. Common Stock,United States,,16469,Industrials,Pollution Control Equipment
FTNT,Fortinet Inc. Common Stock,United States,2009.0,2033322,Technology,Computer peripheral equipment
FULT,Fulton Financial Corporation Common Stock,United States,,459671,Finance,Major Banks
FUNC,First United Corporation Common Stock,United States,,5489,Finance,Major Banks
FUND,Sprott Focus Trust Inc. Common Stock,United States,,23997,Finance,Investment Managers
FWRD,Forward Air Corporation Common Stock,United States,,163695,Consumer Discretionary,Oil Refining/Marketing
GABC,German American Bancorp Inc. Common Stock,United States,,26619,Finance,Major Banks
GAIA,Gaia Inc. Class A Common Stock,United States,1999.0,10480,Consumer Discretionary,Movies/Entertainment
GAIN,Gladstone Investment Corporation Business Development Company,United States,2005.0,87155,Finance,Finance: Consumer Services
GALT,Galectin Therapeutics Inc. Common Stock,United States,,242337,Health Care,Biotechnology: Pharmaceutical Preparations
GAME,GameSquare Holdings Inc. Common Stock,United States,,235164,Consumer Discretionary,Services-Misc. Amusement & Recreation
GASS,StealthGas Inc. Common Stock,Greece,2005.0,87482,Consumer Discretionary,Marine Transportation
GBCI,Glacier Bancorp Inc. Common Stock,United States,,113459,Finance,Major Banks
GBDC,Golub Capital BDC Inc. Common Stock,United States,2010.0,735022,Finance,Finance: Consumer Services
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),Ireland,,273,Finance,Property-Casualty Insurers
GCBC,Greene County Bancorp Inc. Common Stock,United States,,11971,Finance,Banks
GENC,Gencor Industries Inc. Common Stock,United States,,12806,Industrials,Construction/Ag Equipment/Trucks
GEOS,Geospace Technologies Corporation Common Stock (Texas),United States,,28190,Industrials,Industrial Machinery/Components
GERN,Geron Corporation Common Stock,United States,1996.0,10911812,Health Care,Biotechnology: Pharmaceutical Preparations
GEVO,Gevo Inc. Common Stock,United States,2011.0,2262794,Industrials,Major Chemicals
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,Argentina,,687121,Finance,Commercial Banks
GIFI,Gulf Island Fabrication Inc. Common Stock,United States,1997.0,48573,Industrials,Metal Fabrications
GIGM,GigaMedia Limited Ordinary Shares,Taiwan,,43767,Technology,Computer Software: Programming Data Processing
GILD,Gilead Sciences Inc. Common Stock,United States,1992.0,3711241,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GILT,Gilat Satellite Networks Ltd. Ordinary Shares,Israel,,236244,Technology,Radio And Television Broadcasting And Communications Equipment
GLAD,Gladstone Capital Corporation Common Stock,United States,2001.0,81778,Consumer Discretionary,Textiles
GLBS,Globus Maritime Limited Common Stock,Greece,,3743,Consumer Discretionary,Marine Transportation
GLBZ,Glen Burnie Bancorp Common Stock,United States,,1254,Finance,Major Banks
GLDD,Great Lakes Dredge & Dock Corporation Common Stock,United States,,101082,Industrials,Military/Government/Technical
GLMD,Galmed Pharmaceuticals Ltd. Ordinary Shares,Israel,2014.0,32801,Health Care,Biotechnology: Pharmaceutical Preparations
GLNG,Golar Lng Ltd,Bermuda,,945975,Consumer Discretionary,Marine Transportation
GLPI,Gaming and Leisure Properties Inc. Common Stock,United States,,344611,Real Estate,Real Estate Investment Trusts
GLYC,GlycoMimetics Inc. Common Stock,United States,2014.0,115398,Health Care,Biotechnology: Pharmaceutical Preparations
GNTX,Gentex Corporation Common Stock,United States,,1120695,Consumer Discretionary,Auto Parts:O.E.M.
GOGO,Gogo Inc. Common Stock,United States,2013.0,444968,Consumer Discretionary,Telecommunications Equipment
GOLD,Barrick Gold Corporation Common Stock (BC),Canada,,15561049,Basic Materials,Precious Metals
GOOD,Gladstone Commercial Corporation Real Estate Investment Trust,United States,2003.0,141908,Real Estate,Real Estate
GPOR,Gulfport Energy Corporation Common Shares,United States,2021.0,84473,Energy,Oil & Gas Production
GPRE,Green Plains Inc. Common Stock,United States,,549578,Industrials,Major Chemicals
GPRO,GoPro Inc. Class A Common Stock,United States,2014.0,1107085,Consumer Discretionary,Industrial Machinery/Components
GRBK,Green Brick Partners Inc. Common Stock,United States,2021.0,97972,Consumer Discretionary,Homebuilding
GRFS,Grifols S.A. American Depositary Shares,Spain,,922692,Health Care,Biotechnology: Pharmaceutical Preparations
GRMN,Garmin Ltd. Common Stock (Switzerland),Switzerland,2000.0,341563,Industrials,Industrial Machinery/Components
GROW,U.S. Global Investors Inc. Class A Common Stock,United States,,9102,Finance,Investment Managers
GRPN,Groupon Inc. Common Stock,United States,2011.0,1045626,Consumer Discretionary,Advertising
GSBC,Great Southern Bancorp Inc. Common Stock,United States,1989.0,11515,Finance,Major Banks
GSIT,GSI Technology Common Stock,United States,2007.0,113291,Technology,Semiconductors
