symbol,name,country,ipo_year,volume,sector,industry
VRSK,Verisk Analytics Inc. Common Stock,United States,2009.0,449285,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,United States,1998.0,268733,Technology,EDP Services
VRTS,Virtus Investment Partners Inc. Common Stock,United States,,10049,Finance,Investment Managers
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,United States,1991.0,879549,Health Care,Biotechnology: Pharmaceutical Preparations
VSAT,ViaSat Inc. Common Stock,United States,1996.0,904920,Technology,Radio And Television Broadcasting And Communications Equipment
VSEC,VSE Corporation Common Stock,United States,,106794,Consumer Discretionary,Military/Government/Technical
VSTM,Verastem Inc. Common Stock,United States,2012.0,475674,Health Care,Biotechnology: Pharmaceutical Preparations
VTR,Ventas Inc. Common Stock,United States,,1274952,Real Estate,Real Estate Investment Trusts
WABC,Westamerica Bancorporation Common Stock,United States,,189887,Finance,Major Banks
WAFD,WaFd Inc. Common Stock,United States,,126686,Finance,Major Banks
WASH,Washington Trust Bancorp Inc. Common Stock,United States,,70982,Finance,Major Banks
WATT,Energous Corporation Common Stock,United States,2014.0,127968,Technology,Radio And Television Broadcasting And Communications Equipment
WB,Weibo Corporation American Depositary Share,China,2014.0,772548,Technology,Computer Software: Programming Data Processing
WBA,Walgreens Boots Alliance Inc. Common Stock,United States,,4024378,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WDC,Western Digital Corporation Common Stock,United States,,2453573,Technology,Electronic Components
WEN,Wendy's Company (The) Common Stock,United States,,1407111,Consumer Discretionary,Restaurants
WERN,Werner Enterprises Inc. Common Stock,United States,1986.0,192009,Industrials,Trucking Freight/Courier Services
WEYS,Weyco Group Inc. Common Stock,United States,,3601,Consumer Staples,Apparel
WHF,WhiteHorse Finance Inc. Common Stock,United States,,75240,Finance,Finance Companies
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,United States,2012.0,88873,Real Estate,Real Estate Investment Trusts
WINA,Winmark Corporation Common Stock,United States,,5022,Consumer Discretionary,Other Specialty Stores
WIX,Wix.com Ltd. Ordinary Shares,Israel,2013.0,296243,Technology,Computer Software: Programming Data Processing
WLDN,Willdan Group Inc. Common Stock,United States,2006.0,97497,Consumer Discretionary,Military/Government/Technical
WLFC,Willis Lease Finance Corporation Common Stock,United States,1996.0,29344,Consumer Discretionary,Industrial Specialties
WOOF,Petco Health and Wellness Company Inc. Class A Common Stock,United States,2021.0,3352070,Consumer Discretionary,Other Specialty Stores
WRLD,World Acceptance Corporation Common Stock,United States,1991.0,33240,Finance,Finance: Consumer Services
WSBC,WesBanco Inc. Common Stock,United States,,148782,Finance,Major Banks
WSBF,Waterstone Financial Inc. Common Stock (MD),United States,2005.0,7121,Finance,Savings Institutions
WSFS,WSFS Financial Corporation Common Stock,United States,,70388,Finance,Major Banks
WTBA,West Bancorporation Common Stock,United States,,4422,Finance,Major Banks
WTFC,Wintrust Financial Corporation Common Stock,United States,,144434,Finance,Major Banks
WVVI,Willamette Valley Vineyards Inc. Common Stock,United States,,1923,Consumer Staples,Beverages (Production/Distribution)
WWD,Woodward Inc. Common Stock,United States,,134820,Energy,Industrial Machinery/Components
WYNN,Wynn Resorts Limited Common stock,United States,2002.0,933703,Consumer Discretionary,Hotels/Resorts
XENE,Xenon Pharmaceuticals Inc. Common Shares,Canada,2014.0,196063,Health Care,Biotechnology: Pharmaceutical Preparations
XNCR,Xencor Inc. Common Stock,United States,2013.0,382100,Health Care,Biotechnology: Pharmaceutical Preparations
XNET,Xunlei Limited American Depositary Shares,China,2014.0,348001,Technology,Computer Software: Prepackaged Software
XOMA,XOMA Royalty Corporation Common Stock,United States,1986.0,11529,Health Care,Biotechnology: Pharmaceutical Preparations
XTLB,XTL Biopharmaceuticals Ltd. American Depositary Shares,Israel,,2022,Health Care,Biotechnology: Pharmaceutical Preparations
YORW,York Water Company (The) Common Stock,United States,,33309,Utilities,Water Supply
Z,Zillow Group Inc. Class C Capital Stock,United States,,857787,Consumer Discretionary,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,United States,1991.0,259396,Industrials,Industrial Machinery/Components
ZEUS,Olympic Steel Inc. Common Stock,United States,1994.0,24093,Industrials,Metal Fabrications
ZION,Zions Bancorporation N.A. Common Stock,United States,,479539,Finance,Major Banks
ZUMZ,Zumiez Inc. Common Stock,United States,2005.0,182406,Consumer Discretionary,Clothing/Shoe/Accessory Stores
